iso3,regimen,modelo,mae_rel,dm_p,gana_sig
PRY,calma,"ARIMA(1,1,1)",0.9294531296288273,0.3418897525153774,False
PRY,calma,"ARMA(2,2)",0.9486860163362363,0.5022799139956686,False
PRY,calma,Ridge sobre rezagos,0.984711042996151,0.8589123004266375,False
PRY,calma,Comb. RF/AR(1) suave,0.9922831271521272,0.9453128407537934,False
PRY,calma,Comb. RF/AR(1) dura,0.99379653043093,0.9549072093765058,False
PRY,calma,Ingenuo,1.0,,False
PRY,calma,Comb. RF/ingenuo suave,1.0011584876197763,0.9916088440962698,False
PRY,calma,Deriva,1.0082537220693248,0.20223111861337084,False
PRY,ruptura,AR(1),0.9893369232583957,,False
PRY,ruptura,Comb. RF/AR(1) umbral min,0.9893369232583957,,False
PRY,ruptura,Ingenuo,1.0,,False
PRY,ruptura,Deriva,1.0009459805755914,,False
PRY,ruptura,"ARIMA(1,1,1)",1.005267159409543,,False
PRY,ruptura,"ARMA(2,2)",1.0401455489782572,,False
PRY,ruptura,Comb. LSTM/AR(1) suave,1.2272834376771629,,False
PRY,ruptura,Comb. RF/AR(1) suave,1.2274454808964512,,False
PRY,ruptura,Comb. RF/AR(1) dura,1.2274454808964512,,False
PRY,ruptura,Comb. RF/ingenuo suave,1.2274454808964512,,False
PRY,ruptura,LSTM(16),1.229049455105112,,False
PRY,ruptura,Ridge sobre rezagos,1.4528681728311623,,False
PRY,ruptura,Random Forest,1.6712845633074989,,False
SLV,calma,Comb. RF/AR(1) umbral min,0.6881373128766097,0.057242968137599354,False
SLV,calma,"ARIMA(1,1,1)",0.7220938610464748,0.0799367768927112,False
SLV,calma,AR(1),0.7228389666198393,0.0799171684632529,False
SLV,calma,LSTM(16),0.8633165409192116,0.8409542153413609,False
SLV,calma,"ARMA(2,2)",0.8873909498257821,0.6358393588182149,False
